Tiempo (s),Flujo de neutrones (n),pos_nuc (%),pos_BC1 (%),pos_BC2 (%)
0.541,12108.379,100,100,100
0.542,12113.3531,100,100,100
0.543,12118.3243,100,100,100
0.544,12123.2927,100,100,100
0.545,12128.2581,100,100,100
0.546,12133.2207,100,100,100
0.547,12138.1804,100,100,100
0.548,12143.1373,100,100,100
0.549,12148.0912,100,100,100
0.55,12153.0424,100,100,100
0.551,12157.9907,100,100,100
0.552,12162.9362,100,100,100
0.553,12167.8788,100,100,100
0.554,12172.8186,100,100,100
0.555,12177.7556,100,100,100
0.556,12182.6898,100,100,100
0.557,12187.6213,100,100,100
0.558,12192.5499,100,100,100
0.559,12197.4757,100,100,100
0.56,12202.3988,100,100,100
0.561,12207.3191,100,100,100
0.562,12212.2366,100,100,100
0.563,12217.1514,100,100,100
0.564,12222.0634,100,100,100
0.565,12226.9727,100,100,100
0.566,12231.8792,100,100,100
0.567,12236.783,100,100,100
0.568,12241.6841,100,100,100
0.569,12246.5825,100,100,100
0.57,12251.4782,100,100,100
0.571,12256.3711,100,100,100
0.572,12261.2614,100,100,100
0.573,12266.149,100,100,100
0.574,12271.0339,100,100,100
0.575,12275.9161,100,100,100
0.576,12280.7957,100,100,100
0.577,12285.6726,100,100,100
0.578,12290.5468,100,100,100
0.579,12295.4184,100,100,100
0.58,12300.2874,100,100,100
0.581,12305.1537,100,100,100
0.582,12310.0174,100,100,100
0.583,12314.8785,100,100,100
0.584,12319.7369,100,100,100
0.585,12324.5928,100,100,100
0.586,12329.446,100,100,100
0.587,12334.2967,100,100,100
0.588,12339.1447,100,100,100
0.589,12343.9902,100,100,100
0.59,12348.8331,100,100,100
0.591,12353.6734,100,100,100
0.592,12358.5111,100,100,100
0.593,12363.3463,100,100,100
0.594,12368.179,100,100,100
0.595,12373.0091,100,100,100
0.596,12377.8366,100,100,100
0.597,12382.6617,100,100,100
0.598,12387.4842,100,100,100
0.599,12392.3041,100,100,100
0.6,12397.1216,100,100,100
0.601,12401.9365,100,100,100
0.602,12406.749,100,100,100
0.603,12411.5589,100,100,100
0.604,12416.3664,100,100,100
0.605,12421.1714,100,100,100
0.606,12425.9739,100,100,100
0.607,12430.7739,100,100,100
0.608,12435.5714,100,100,100
0.609,12440.3665,100,100,100
0.61,12445.1592,100,100,100
0.611,12449.9494,100,100,100
0.612,12454.7371,100,100,100
0.613,12459.5224,100,100,100
0.614,12464.3053,100,100,100
0.615,12469.0858,100,100,100
0.616,12473.8638,100,100,100
0.617,12478.6394,100,100,100
0.618,12483.4126,100,100,100
0.619,12488.1835,100,100,100
0.62,12492.9519,100,100,100
